"Частота, Гц","Дистанция, мм",Количество точек,"Центр мишени (X), мм","Центр мишени (Y), мм"
55,500,12,505.5959105931068,-25.890489519610927
55,500,11,502.12243848995945,-25.80853051120954
55,500,11,502.66288885540996,-25.26808014575905
55,500,11,502.0800532050165,-26.699250920608794
55,500,11,503.2248571481998,-25.55444697742545
55,500,11,500.7052903425395,-28.074013783085782
55,500,11,503.3427560320202,-25.43654809360508
55,500,12,504.29613744809313,-25.764276643358997
55,500,12,504.3258847920278,-25.734529299424302
55,500,12,502.7988888553225,-27.26152523612962
55,500,12,505.2183299158638,-24.842084175588337
55,500,11,501.9872416897466,-28.562929553788607
55,500,11,503.14089264980305,-27.40927859373219
55,500,11,501.89955792043077,-28.650613323104448
55,500,11,503.56862447223983,-26.981546771295392
55,500,11,502.01399892499904,-26.93975253164922
55,500,11,503.5811943168015,-25.37255713984677
55,500,11,501.04273382128736,-27.911017635360913
55,500,11,503.47068477316503,-25.48306668348321
55,500,11,502.00660186317015,-26.957483328360833
55,500,11,502.5619403338662,-26.4021448576648
55,500,11,502.25767285244854,-25.954454915364547
55,500,11,503.29294778221896,-24.919179985594095
55,500,11,501.96893315311763,-26.243194614695476
55,500,11,502.4304702696191,-25.781657498193976
55,500,11,502.1653149075888,-27.820878278264402
55,500,11,503.2671949249032,-26.718998260949988
55,500,11,501.38591732415125,-28.600275861701988
55,500,11,502.3066260715415,-27.679567114311745
55,500,12,504.67813604931916,-27.03651630444834
55,500,12,504.74382922386263,-26.97082312990489
55,500,12,504.3214435497244,-27.39320880404313
55,500,12,505.2177391798126,-26.496913173954898
55,500,11,502.13928333809656,-27.185463604318354
55,500,11,503.0904436152033,-26.234303327211602
55,500,11,501.7409431372958,-27.583803805119125
55,500,11,502.3992280067878,-26.92551893562715
55,500,12,504.42112967206157,-25.943497705249737
55,500,12,505.5074820853103,-24.85714529200103
55,500,12,504.4050990493782,-25.959528327933114
55,500,12,504.7626366207126,-25.601990756598706
55,500,12,504.4545459884287,-27.648101992371622
55,500,12,504.5303299483138,-27.57231803248654
55,500,12,504.48281180830867,-29.252385159070982
55,500,12,506.08730168962387,-27.647895277755786
55,500,12,503.0769215420542,-30.658275425325442
55,500,12,505.88891883429085,-27.84627813308882
55,500,11,502.26642688954524,-27.68719461016499
55,500,11,503.64503966191336,-26.3085818377969
55,500,11,501.70138782594114,-28.252233673769112
55,500,11,503.14673221506644,-26.80688928464379
55,500,12,504.63564015563037,-27.67318519145552
55,500,12,505.8906538400887,-26.418171506997176
55,500,12,504.3591030661283,-27.94972228095763
55,500,12,505.29076351783607,-27.01806182924985
55,500,11,501.89008583093346,-26.627982015047532
55,500,11,503.20042679118166,-25.317641054799363
55,500,11,500.55059174938066,-27.96747609660036
55,500,11,502.60093958988415,-25.91712825609687
55,500,11,501.9433249264677,-26.380207290831187
55,500,11,503.01238160689223,-25.31115061040669
55,500,11,500.98263013304086,-27.34090208425804
55,500,11,502.99500230806234,-25.328529909236554
55,500,11,502.0305650676618,-25.990176610369232
55,500,11,502.35375099809283,-25.66699067993824
55,500,11,502.4006631332628,-26.9492800778012
55,500,11,502.47438363998236,-26.875559571081652
55,500,11,501.1675580216474,-28.18238518941662
55,500,11,503.11834325966544,-26.23159995139856
55,500,11,502.14710181045757,-28.51813712665731
55,500,11,503.10206212059023,-27.56317681652464
55,500,11,500.7520703571903,-29.913168579924573
55,500,11,503.7965924993403,-26.868646437774586
55,500,12,504.4905229002707,-27.72689233320148
55,500,12,504.8449026860781,-27.372512547394088
55,500,12,502.96004990152414,-29.25736533194806
55,500,12,505.902502268532,-26.314912964940202
55,500,11,501.9288317853012,-25.625029347362876
55,500,11,503.4920849107519,-24.061776221912204
55,500,11,500.92582609437426,-26.628035038289855
55,500,11,503.0985021662512,-24.45535896641292
55,500,11,501.7068703128207,-26.970249424803388
55,500,11,502.76655056612054,-25.910569171503543
55,500,12,504.51017325807476,-28.9616917792908
55,500,12,506.00139596432325,-27.470469073042292
55,500,12,504.1463731686574,-29.32549186870813
55,500,12,504.9919646708545,-28.479900366511064
55,500,11,502.12785463607537,-25.737954043346402
55,500,11,503.2926650780655,-24.573143601356286
55,500,11,501.38024076588084,-26.485567913540926
55,500,11,503.0107252477147,-24.85508343170707
55,500,12,504.48132525169234,-29.151423598777537
55,500,12,506.008598801065,-27.62415004940488
55,500,12,504.37384488955433,-29.25890396091553
55,500,12,505.91948046981963,-27.713268380650252
55,500,12,504.4487340590545,-29.29917441017062
55,500,12,504.5480120524555,-29.19989641676964
55,500,12,503.4692575178847,-30.278650951340403
